Giocatore;Ruolo;Squadra_giocatore;Cartellini Gialli_per90;Cartellini Rossi_per90;Falli_per90;Fallo Subito_per90;Intercettazioni_per90;Tackle Vinti_per90;Recupero Palla_per90;Aerei Vinti_per90;Aerei Persi_per90;Minuti Giocati
Jacob Ondrejka;Cen.Att;Parma;0.0;0.0;0.0;3.0;1.0;1.0;5.0;0.0;2.0;1.0
Jacopo Bacci;Cen;Empoli;0.0;0.0;0.0;3.3333333333333335;3.3333333333333335;0.0;0.0;3.3333333333333335;0.0;0.3
Jacopo Fazzini;Cen.Att;Empoli;0.11235955056179775;0.11235955056179775;2.134831460674157;2.2471910112359548;0.5617977528089887;1.2359550561797752;4.719101123595506;1.0112359550561798;1.2359550561797752;8.9
Jacopo Seghetti;Por;Empoli;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Jaka Bijol;Dif;Udinese;0.2857142857142857;0.0;1.3928571428571428;0.2857142857142857;1.1785714285714286;0.7142857142857143;2.892857142857143;3.142857142857143;1.75;28.0
James Abankwah;Dif.Cen;Udinese;1.0;0.0;4.0;3.0;1.0;2.0;7.0;2.0;2.0;1.0
Jay Idzes;Dif;Venezia;0.1444043321299639;0.0;1.444043321299639;0.36101083032490977;0.8664259927797834;0.9025270758122744;2.815884476534296;1.7689530685920578;2.1660649819494586;27.7
Jean Butez;Por;Como;0.0;0.0;0.08333333333333333;0.08333333333333333;0.0;0.0;2.75;0.4166666666666667;0.0;12.0
Jean Onana;Cen;Genoa;0.0;0.0;2.857142857142857;0.0;1.4285714285714286;2.857142857142857;3.5714285714285716;3.5714285714285716;5.0;1.4
Jean-Daniel Akpa-Akpro;Cen.Dif;Monza;0.5405405405405405;0.0;3.243243243243243;1.081081081081081;0.8108108108108107;2.162162162162162;7.5675675675675675;1.6216216216216215;2.972972972972973;3.7
Jeff Ekhator;Att.Cen;Genoa;0.136986301369863;0.0;1.7808219178082192;1.36986301369863;0.136986301369863;0.4109589041095891;3.8356164383561646;1.9178082191780823;4.2465753424657535;7.3
Jens Odgaard;Cen.Att;Bologna;0.054945054945054944;0.0;2.087912087912088;1.8131868131868132;0.43956043956043955;0.7692307692307693;3.296703296703297;2.032967032967033;2.857142857142857;18.2
Jesper Karlsson;Att;Lecce;0.5555555555555556;0.0;0.5555555555555556;0.0;0.0;0.2777777777777778;2.7777777777777777;0.2777777777777778;1.3888888888888888;3.6
Jesper Karlström;Cen;Udinese;0.21897810218978103;0.0;0.9489051094890512;0.6934306569343066;1.0583941605839418;0.9489051094890512;4.343065693430657;0.9489051094890512;0.8394160583941607;27.4
Jesse Joronen;Por;Venezia;0.0;0.0;0.12820512820512822;0.0;0.0;0.0;1.4102564102564104;0.38461538461538464;0.0;7.8
Jhon Lucumí;Dif;Bologna;0.22831050228310504;0.04566210045662101;0.7762557077625571;0.31963470319634707;0.8675799086757991;0.8675799086757991;5.981735159817352;1.4611872146118723;1.3698630136986303;21.9
Joaquín Correa;Att.Cen;Inter;0.3125;0.0;1.5625;1.875;0.0;0.3125;4.375;1.25;3.125;3.2
Joel Pohjanpalo;Att;Venezia;0.056179775280898875;0.0;0.6741573033707865;0.8426966292134831;0.2247191011235955;0.16853932584269662;1.1235955056179774;2.5842696629213484;3.3146067415730336;17.8
Johan Vásquez;Dif;Genoa;0.2545454545454545;0.0;0.8727272727272727;0.8;1.4181818181818182;0.8363636363636363;3.8181818181818183;2.690909090909091;2.2181818181818183;27.5
John Yeboah;Att.Cen;Venezia;0.6410256410256411;0.0;1.2820512820512822;1.4102564102564104;0.38461538461538464;0.38461538461538464;3.4615384615384617;0.5128205128205129;0.7692307692307693;7.8
Jonas Rouhi;Dif;Juventus;0.0;0.0;1.7391304347826089;0.8695652173913044;1.3043478260869565;0.4347826086956522;6.521739130434783;0.0;1.7391304347826089;2.3
Jonathan Ikone;Att.Cen;Fiorentina;0.0;0.0;0.8108108108108107;1.8918918918918919;0.27027027027027023;0.5405405405405405;5.135135135135135;0.0;1.6216216216216215;3.7
