Giocatore;Ruolo;Squadra;Età;Minuti Giocati;Cartellini Gialli;Cartellini Rossi;Cartellini Gialli/Rossi;Falli;Fallo Subito;Fuorigioco;Cross;Intercettazioni;Tackle Vinti;Rigori Guadagnati;Rigori Concessi;Autoreti;Recupero Palla;Aerei Vinti;Aerei Persi;Percentuale Aerei Vinti;Link Giocatore
Adrian Bernabe;Cen;Parma;23;13.7;1;0;0;8;31;0;24;6;18;0;0;0;60;4;2;66.7;https://fbref.com/it/calciatori/548672b4/Adrian-Bernabe
Antoine Bernede;Cen;Hellas Verona;25;2.5;0;0;0;3;0;0;1;3;2;0;0;0;13;2;2;50.0;https://fbref.com/it/calciatori/07a821e4/Antoine-Bernede
Sam Beukema;Dif;Bologna;26;27.5;0;0;0;25;30;1;6;22;24;0;1;0;110;75;58;56.4;https://fbref.com/it/calciatori/de13cee5/Sam-Beukema
Alessandro Bianco;Cen;Monza;22;21.7;6;0;0;33;38;3;18;16;23;0;1;0;99;9;21;30.0;https://fbref.com/it/calciatori/d65cf468/Alessandro-Bianco
Alessandro Bianco;Cen;Fiorentina;22;0.2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;;https://fbref.com/it/calciatori/d65cf468/Alessandro-Bianco
Jaka Bijol;Dif;Udinese;26;28.0;8;0;0;39;8;2;2;33;20;0;1;1;81;88;49;64.2;https://fbref.com/it/calciatori/6fdac234/Jaka-Bijol
Philip Billing;Cen;Napoli;28;1.2;0;0;0;5;1;0;0;3;3;0;1;0;3;8;5;61.5;https://fbref.com/it/calciatori/d328a254/Philip-Billing
Cristiano Biraghi;Dif;Torino;32;5.2;0;0;0;6;4;0;33;5;7;0;0;1;16;2;8;20.0;https://fbref.com/it/calciatori/9e1577aa/Cristiano-Biraghi
Cristiano Biraghi;Dif;Fiorentina;32;4.8;1;0;0;4;7;0;30;4;4;0;0;0;10;2;3;40.0;https://fbref.com/it/calciatori/9e1577aa/Cristiano-Biraghi
Samuele Birindelli;Dif.Cen;Monza;25;9.2;2;0;0;11;11;2;40;7;10;0;0;0;32;5;9;35.7;https://fbref.com/it/calciatori/204ac005/Samuele-Birindelli
Bjarki Bjarkason;Dif.Cen;Venezia;24;1.8;2;0;0;2;8;0;7;2;2;0;0;0;9;0;0;;https://fbref.com/it/calciatori/f1d25de7/Bjarki-Bjarkason
Emil Bohinen;Cen;Genoa;26;1.8;0;0;0;3;3;0;0;1;4;0;0;0;9;2;1;66.7;https://fbref.com/it/calciatori/c83c203f/Emil-Bohinen
Warren Bondo;Cen;Monza;21;18.0;5;1;1;31;36;1;7;5;24;0;0;0;91;5;8;38.5;https://fbref.com/it/calciatori/0def2376/Warren-Bondo
Warren Bondo;Cen;Milan;21;1.7;1;0;0;1;3;0;1;0;3;0;0;0;10;1;1;50.0;https://fbref.com/it/calciatori/0def2376/Warren-Bondo
Kevin Bonifazi;Dif;Lecce;28;0.7;0;0;0;0;0;0;0;2;1;0;0;0;7;1;1;50.0;https://fbref.com/it/calciatori/fb77bfef/Kevin-Bonifazi
Ange-Yoan Bonny;Att;Parma;21;21.1;2;0;0;17;34;11;11;1;10;1;0;0;46;18;58;23.7;https://fbref.com/it/calciatori/64629ba4/Ange-Yoan-Bonny
Edoardo Bove;Cen.Att;Fiorentina;22;9.5;3;0;0;16;21;0;2;6;17;1;0;0;45;11;15;42.3;https://fbref.com/it/calciatori/ae94a6c5/Edoardo-Bove
Domagoj Bradarić;Dif;Hellas Verona;25;15.1;6;0;0;15;11;3;53;12;19;0;0;0;56;15;19;44.1;https://fbref.com/it/calciatori/8bbe2df5/Domagoj-Bradaric
Matthias Braunöder;Cen;Como;23;3.0;3;1;1;10;5;0;0;2;4;0;0;0;8;1;4;20.0;https://fbref.com/it/calciatori/bce728e1/Matthias-Braunoder
Iker Bravo;Att.Cen;Udinese;20;5.1;3;0;0;9;8;1;6;0;5;0;0;0;25;11;21;34.4;https://fbref.com/it/calciatori/db8c8860/Iker-Bravo
Gleison Bremer;Dif;Juventus;28;6.0;2;0;0;9;5;0;0;6;7;0;0;0;23;11;7;61.1;https://fbref.com/it/calciatori/5fd5ed86/Gleison-Bremer
Brenner;Cen.Att;Udinese;25;4.3;0;0;0;0;5;0;11;1;4;0;0;0;16;2;3;40.0;https://fbref.com/it/calciatori/279508bf/Brenner
Marco Brescianini;Cen;Atalanta;25;9.2;1;0;0;19;6;2;17;2;8;0;0;0;40;9;9;50.0;https://fbref.com/it/calciatori/dfd56738/Marco-Brescianini
Arvid Brorsson;Dif;Monza;25;1.2;0;0;0;0;0;0;0;0;2;0;0;0;3;3;2;60.0;https://fbref.com/it/calciatori/9f2989f4/Arvid-Brorsson
Tajon Buchanan;Dif.Att;Inter;26;1.1;0;0;0;2;4;0;3;0;0;0;0;0;6;1;0;100.0;https://fbref.com/it/calciatori/3aca6420/Tajon-Buchanan
Alessandro Buongiorno;Dif;Napoli;25;20.7;2;0;0;16;18;1;1;34;22;0;0;0;84;42;21;66.7;https://fbref.com/it/calciatori/4ae67f27/Alessandro-Buongiorno
Rareș-Cătălin Burnete;Att;Lecce;21;0.2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0.0;https://fbref.com/it/calciatori/7c4b4e36/Rares-Catalin-Burnete
