Giornata;Giorno della Settimana;Data;Ora Inizio;Squadra di Casa;xG Casa;Risultato;xG Trasferta;Squadra Trasferta;Spettatori;Stadio;Arbitro;Link Report
11;Sab;02-11-2024;15:00;Bologna;1.4;1–0;0.7;Lecce;25.000;Stadio Renato Dall'Ara;Giuseppe Collu;https://fbref.com/it/partite/131fb996/Bologna-Lecce-2-Novembre-2024-Serie-A
11;Sab;02-11-2024;18:00;Udinese;0.6;0–2;1.3;Juventus;24.990;Bluenergy Stadium;Rosario Abisso;https://fbref.com/it/partite/2680b604/Udinese-Juventus-2-Novembre-2024-Serie-A
11;Sab;02-11-2024;20:45;Monza;1.2;0–1;2.5;Milan;17.000;U-Power Stadium;Ermanno Feliciani;https://fbref.com/it/partite/6e2f5ec6/Monza-Milan-2-Novembre-2024-Serie-A
11;Dom;03-11-2024;12:30;Napoli;0.8;0–3;1.2;Atalanta;50.873;Stadio Diego Armando Maradona;Daniele Doveri;https://fbref.com/it/partite/31d4ab7d/Napoli-Atalanta-3-Novembre-2024-Serie-A
11;Dom;03-11-2024;15:00;Torino;0.6;0–1;0.6;Fiorentina;23.326;Stadio Olimpico Grande Torino;Federico La Penna;https://fbref.com/it/partite/7c298383/Torino-Fiorentina-3-Novembre-2024-Serie-A
11;Dom;03-11-2024;18:00;Hellas Verona;1.1;3–2;1.7;Roma;28.185;Stadio Marc'Antonio Bentegodi;Matteo Marcenaro;https://fbref.com/it/partite/0c67c952/Hellas-Verona-Roma-3-Novembre-2024-Serie-A
11;Dom;03-11-2024;20:45;Inter;2.4;1–0;1.0;Venezia;66.326;Stadio Giuseppe Meazza;Maria Sole Ferrieri Caputi;https://fbref.com/it/partite/f6ba9194/Internazionale-Venezia-3-Novembre-2024-Serie-A
11;Lun;04-11-2024;18:30;Empoli;0.6;1–0;0.4;Como;8.102;Stadio Carlo Castellani - Computer Gross...;Marco Di Bello;https://fbref.com/it/partite/cf8ba91a/Empoli-Como-4-Novembre-2024-Serie-A
11;Lun;04-11-2024;18:30;Parma;1.1;0–1;1.4;Genoa;16.151;Stadio Ennio Tardini;Marco Guida;https://fbref.com/it/partite/d8a1b693/Parma-Genoa-4-Novembre-2024-Serie-A
11;Lun;04-11-2024;20:45;Lazio;2.9;2–1;0.3;Cagliari;35.000;Stadio Olimpico;Giovanni Ayroldi;https://fbref.com/it/partite/b3fa2e3c/Lazio-Cagliari-4-Novembre-2024-Serie-A
12;Gio;07-11-2024;20:45;Genoa;0.9;1–1;1.4;Como;30.708;Stadio Comunale Luigi Ferraris;Antonio Rapuano;https://fbref.com/it/partite/ee077ae1/Genoa-Como-7-Novembre-2024-Serie-A
