Giocatore;Posizione
Stefano Sensi;
Suat Serdar;
Stephan El Shaarawy;
Alen Sherri;
Eldor Shomurodov;Att
Marco Silvestri;Por
Giovanni Simeone;Att
Łukasz Skorupski;Por
Ivan Smolčić;Dif (T, right)
Simon Sohm;Cen (CD)
Ola Solbakken;Att
Oumar Solet;Dif (DC)
Yann Sommer;Por
Borna Sosa;Dif-Cen (T, left)
Riccardo Sottil;Att-Cen
Riccardo Sottil;Att-Cen
Matìas Soulé;Att-Cen
Leonardo Spinazzola;Dif-Cen (CD-T-CE, left)
Filip Stankovic;Por
Petar Stojanović;Dif-Cen (T, right)
Gabriel Strefezza;Dif-Att-Cen (TRQ, right)
Ibrahim Sulemana;Cen
Tomáš Suslov;Att-Cen (TRQ)
Zion Suzuki;Por
Marin Šverko;Dif
Mile Svilar;Por
Michael Svoboda;Dif (DC)
Adrien Tameze;Dif-Cen (CC-CD)
Mehdi Taremi;Att-Cen
Nuno Tavares;Dif-Cen (T, left)
Loum Tchaouna;Att-Cen
Jackson Tchatchoua;Dif-Cen
Casper Tengstedt;Att
Filippo Terracciano;Dif
Pietro Terracciano;Por
Florian Thauvin;Att-Cen (TRQ-CE, right)
Malick Thiaw;Dif-Cen (DC)
Morten Thorsby;Cen (CC)
Khéphren Thuram;Cen (CC-CE)
Marcus Thuram;Att-Cen (TRQ)
Rafael Tolói;Dif (DC, right)
Fikayo Tomori;Dif (DC, left)
Lorenzo Tosto;Dif
Souleymane Touré;Dif (DC, left)
Stefano Turati;Por
Kacper Urbanski;Cen
Kacper Urbanski;Cen
Lautaro Valenti;Dif (DC, left)
Nicolás Valentini;Dif (DC)
Emanuele Valeri;Dif-Cen (T, left)
Álex Valle;Dif
Mattia Valoti;Att-Cen (CC)
Ignace Van Der Brempt;Dif (T, right)
Devis Vásquez;Por
Johan Vásquez;Dif (DC, left)
Matías Vecino;Att-Cen (TRQ-CC-CD)
Danilo Veiga;Dif
Renato Veiga;Dif-Cen
Lorenzo Venturino;Att
Simone Verdi;Att-Cen (TRQ)
Samuele Vignato;Cen
Nicolas Viola;Cen (CC)
Mattia Viti;Dif (DC, left)
Vitinha;Att
Dušan Vlahović;Att
Vanja Vlahović;Cen
Nikola Vlašić;Att-Cen (TRQ)
Alessandro Vogliacco;Dif (DC)
Alessandro Vogliacco;Dif (DC)
Mërgim Vojvoda;Dif-Cen (CD-T)
